STIM1	TRPC1
KCNJ11	ABCC9
HADHA	HADHB
GTF2E1	GTF2E2
GTF2A1	GTF2A2
VANGL2	SCRIB
DVL2	PARD6A
GRB2	GAB1
EGFR	EGF
PXN	SRC
PDGFB	PDGFA
PDGFRA	PDGFRB
PTEN	TP53
INS	INSR
PNLIP	CLPS
GNB1	GNGT1
FNTB	FNTA
RAD50	MRE11
ATM	KAT5
SMARCA5	BAZ1B
UBE2I	SUMO1
UBE2V2	UBE2N
BARD1	BRCA1
SUMO2	UBE2I
MDC1	SUMO2
ATRIP	ATR
TIMELESS	TIPIN
PPP4C	PPP4R2
XRCC3	RAD51C
MUS81	EME2
MUS81	EME1
RAD51	BRCA2
ERCC4	ERCC1
LIG3	XRCC1
XRCC6	XRCC5
LIG4	XRCC4
HEXA	HEXB
EXT1	EXT2
SOS1	GRB2
MAP2K1	MAP2K2
CCNB1	CDK1
CLP1	PCF11
SUPT5H	SUPT4H1
ELOB	ELOC
SSRP1	SUPT16H
GTF2F1	GTF2F2
NCBP1	NCBP2
TAP1	TAP2
MUT	MMAA
ZNF385A	TP53
ARID3A	TP53
AURKA	GADD45A
GADD45A	PCNA
PLK3	TP53
FAS	FASLG
TNF	TNFRSF1A
TNFAIP3	TAX1BP1
RAD18	UBE2B
REV3L	MAD2L2
RCHY1	POLH
TRIM25	UBE2L6
ISG15	UBA7
UBE2I	SUMO3
MLH1	PMS2
FAAP24	FANCM
CENPS	CENPX
FANCD2	FANCI
PCCA	PCCB
MCCC1	MCCC2
CLCF1	CRLF1
EBI3	IL27
EBI3	IL12A
PRKCSH	GANAB
CALR	CANX
RAD51B	RAD51C
ABCG8	ABCG5
ANGPTL8	ANGPTL3
ABCA1	APOA1
LDLR	PCSK9
VLDLR	RELN
PLIN1	ABHD5
FABP4	LIPE
NGFR	NGF
NME2	NME1
DCC	APPL1
UNC5A	MAGED1
PPP3R1	PPP3CC
BCL2	BID
BCL2	BAD
BID	BAX
BAK1	BID
CYCS	APAF1
XIAP	CASP3
CASP7	XIAP
CASP9	XIAP
XIAP	DIABLO
DFFB	DFFA
KPNB1	KPNA1
PAK2	ARHGAP10
RIPK1	RIPK3
UBE2N	UBE2V1
TRAF6	IRAK1
IRAK2	TRAF6
JUN	ATF2
FOS	JUN
EGFR	HBEGF
GORASP1	GOLGA2
FKBP1A	TGFBR1
GRIA2	GRIA1
GMNN	CDT1
YAP1	TEAD1
YAP1	TEAD2
TEAD3	YAP1
YAP1	TEAD4
CDK8	CCNC
RNF111	SMAD7
TSC1	TSC2
TP53	SCO2
RRM2B	TP53
BNIP3L	STEAP3
TP53	TRIAP1
AIFM2	TP53
TP53	TP53INP1
BCL6	TP53
TP53	MDM2
MDM4	MDM2
TP53	CCNG1
TP53	HIPK1
CSNK2A2	CSNK2A1
AURKA	TPX2
TP53	NOC2L
CDK5R1	CDK5
BANP	TP53
TP53	PHF20
L3MBTL1	TP53
EHMT1	EHMT2
TFAP2A	DEK
TFAP2B	YEATS4
ATAD2	ESR1
POLRMT	TFB2M
RNMT	RNGTT
SRRM1	SRRM2
QTRT1	QTRT2
TRMT61A	TRMT6
HSD17B10	TRMT10C
FARSB	FARSA
PAN3	PAN2
DGCR8	DROSHA
EIF4EBP1	EIF4E
EIF4A2	EIF4A1
SRPRA	SRPRB
N6AMT1	TRMT112
SMARCA5	BAZ2A
DNMT3A	DNMT3L
DNMT3B	DNMT3L
NSUN4	MTERF4
TF	TFRC
HTR3D	HTR3A
HTR3A	HTR3E
HTR3B	HTR3A
HTR3C	HTR3A
CCNB2	CDK1
PIK3R2	PIK3CB
PIK3R2	PIK3CD
PIK3CD	PIK3R1
PIK3CA	PIK3R3
PIK3CB	PIK3R1
PIK3R1	PIK3CA
PIK3R3	PIK3CD
PIK3R5	PIK3CG
PIK3R3	PIK3CB
PIK3CA	PIK3R2
PTPN13	PLEKHA1
GAB2	GRB2
MRVI1	ITPR1
IL6	IL6R
STAT3	STAT1
VEGFA	KDR
PLG	HRG
S100A10	ANXA2
SERPINF2	PLG
PLAUR	PLAU
PDZD11	ATP7A
OSTM1	CLCN7
TXN	TXNIP
NLRP3	TXNIP
MEFV	PSTPIP1
PYCARD	MEFV
CGA	LHB
GCG	GCGR
RAMP3	CALCR
CALCR	RAMP1
CGA	TSHB
GPHA2	GPHB5
CALCRL	RAMP2
RAMP3	CALCRL
CALCRL	RAMP1
FSHB	CGA
ITGAV	ITGB5
STX4	SEC22B
SUFU	GLI3
SUFU	GLI2
SUFU	GLI1
GCKR	GCK
KCNJ16	KCNJ15
KCNJ10	KCNJ16
CXCL16	CXCR6
C5AR1	C5
GABBR2	GABBR1
GABPA	GABPB1
GSTA1	GSTA2
GCLM	GCLC
ABCD1	ABCD2
ABCD2	ABCD3
ABCD1	ABCD3
CX3CL1	CX3CR1
TACR1	TAC1
CRH	CRHBP
CD55	CD97
TAS1R3	TAS1R1
TAS1R2	TAS1R3
CTNNB1	CBY1
CTNNB1	CTNNBIP1
CTNNB1	CHD8
MCFD2	LMAN1
TMED10	TMED2
CD4	LCK
RAB3GAP1	RAB3GAP2
NECTIN3	NECTIN1
NECTIN1	NECTIN4
NECTIN2	NECTIN3
NECTIN3	PVR
CHRNA4	CHRNB2
CHRNA3	CHRNB4
TLR1	TLR2
TLR2	TLR6
SNW1	RBPJ
NOTCH1	HIF1A
JAG1	NOTCH1
CBL	GRB2
NCAM1	NCAN
COL4A2	COL4A1
TYROBP	CLEC5A
NCR2	TYROBP
TYROBP	SIRPB1
TREM1	TYROBP
TREM2	TYROBP
TYROBP	CD300E
CD300LB	TYROBP
GRAP2	LCP2
SPRY2	CBL
LRP2	DAB2
VAMP7	AGFG1
AMPH	BIN1
NOTCH2	JAG2
JAK3	PTK2B
IRF3	IRF7
DRAP1	FOXH1
BOC	CDON
F7	F3
KNG1	C1QBP
F8	VWF
F8	F9
F13B	F13A1
PROCR	PROC
TLR4	LY96
S100A9	S100A8
CFB	C3
CKB	CKM
PRDX6	GSTP1
YWHAE	HSF1
CCAR2	SIRT1
MAP3K5	TXN
TP53	CDKN1A
RELA	NFKB1
ATG7	ATG12
ATG5	ATG12
CLEC4C	FCER1G
CHUK	MAP3K14
NFKB2	RELB
CASP8	MALT1
RELB	RELA
TP53	RFWD2
MAD2L1	CDC20
MAX	MYC
CCND1	CDK4
CDK2	CCNE1
CDC7	DBF4
CDK1	CCNA1
CDK1	CCNA2
PLK1	GTSE1
CTDNEP1	CNEP1R1
ESPL1	PTTG1
MAU2	NIPBL
CDC20	FBXO5
FERMT2	FBLIM1
ILK	ITGB1
PXN	PARVA
LIMS1	RSU1
ACTN1	PARVB
ITGA6	ITGB4
CD47	SIRPA
SIRPG	CD47
NPHS1	KIRREL
EVPL	PPL
KAZN	PPL
SAE1	UBA2
ITGA3	ITGB1
ITGB1	ITGA6
ITGA7	ITGB1
ITGA2	ITGB1
