ID	10 CN A	102 CN A	12 CN A	13 CN A	16 CN A	19 CN A	22 CN A	3 CN A	45 CN A	51 CN A	59 CN A	60 CN A	62 CN A	7 CN A	9 CN A	HC102 CN A	HC103 CN A	HC105 CN A	HC52 CN A	HC53 CN A	HC55 CN A	HC57 CN A	HC61 CN A	HC62 CN A	HC65 CN A	HC66 CN A	HC68 CN A	HC69 CN A	HC71 CN A	HC72 CN A	HC73 CN A	HC74 CN A	HC76 CN A	HC80 CN A	HC81 CN A	HC82 CN A	HC83 CN A	HC86 CN A
10	0.53960544	0.32535315	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.21649796	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.3887298	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544	0.53960544
100	0.14813852	0.25314093	0.17594415	0.8676495	0.12642336	0.576476	0.8676495	0.5250718	0.46345174	0.50624925	0.08170301	0.8676495	0.10816187	0.12031764	0.7797836	2.002716E-5	0.6183762	0.51085335	0.014877677	0.8676495	0.02797538	0.005630374	0.38312048	0.023254752	0.13673007	0.26226866	0.025521934	0.17928499	0.0012341142	0.04195857	0.12427175	0.0050949454	0.29157996	0.8676495	5.8448315E-4	0.5790366	0.5354583	0.16812229
1000	0.017801344	0.07762647	0.56036276	0.34777355	0.0138062835	0.0	0.0	0.16964602	0.0124441385	5.364418E-7	0.041841984	0.49093223	0.0	0.086408675	0.042915642	0.558015	0.055713296	0.37681794	0.51452416	0.05384195	0.08885878	0.37009263	0.00265491	0.17293048	0.37063926	0.28404206	0.08423275	0.012619078	0.5099758	0.28106225	0.78806025	0.57160926	0.33939254	0.7886114	0.4726609	0.10044569	0.40972817	0.4772458
10000	0.10650557	2.2917986E-4	0.42713392	0.27470505	0.4856938	0.35130858	0.1182102	0.6435088	0.14263278	0.14223075	0.45063496	0.34037638	0.100945294	0.022480607	0.22341263	0.3537258	0.4218157	0.3487624	0.19783276	0.024219036	0.34011608	0.2553389	0.21838099	0.11150885	0.19487703	0.28983462	0.61152947	0.4181155	0.44926703	0.13689613	0.31770468	0.25950873	0.0040662885	0.3971879	0.4226122	0.1748293	0.556471	0.28342265
10001	0.91316533	0.01660937	0.91481173	0.91481173	0.0014895201	0.48618817	0.6754391	0.023735821	0.072594225	0.91481173	0.008983731	0.7496978	0.31849372	0.47542608	2.5349855E-4	0.34414744	0.74101806	7.1525574E-7	5.982518E-4	0.04496938	0.028150558	0.0010259748	0.079119325	0.0010592937	0.50998235	0.01428771	0.007622421	0.89522094	0.14219642	0.04277253	0.37225455	0.5106964	0.0	0.13177049	0.6496887	0.0	0.06498605	0.092246234
10002	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10003	0.38131678	0.62951434	0.3918969	0.58864534	0.4972509	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.13641328	0.62951434	0.62951434	0.36119097	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434	0.62951434
10004	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10005	0.5782045	0.39438587	0.8226972	0.29177558	0.60084677	0.5398583	0.6452784	0.75760335	0.38106024	0.32318306	0.4077344	0.7154077	0.30968064	0.7921323	0.21311855	0.50179136	0.35105324	0.77861035	0.46630144	0.15983194	0.13182181	0.460114	0.47677898	0.5358082	0.2760539	0.36097574	0.16175294	0.13947785	0.1665473	0.3802358	0.42021644	0.6584543	0.48489332	0.08135408	0.5321716	0.450248	0.2634194	0.41633606
10006	0.006383419	0.28667426	0.047234297	6.507635E-4	0.47414172	1.3905764E-4	0.028360724	0.80836654	0.56422746	0.0	0.06770301	0.31838655	1.0353327E-4	0.72134507	0.05166006	0.67420256	1.2397766E-5	8.6426735E-6	0.40647984	0.68271077	0.4700055	0.98539716	0.9584396	0.44087917	0.59030044	0.95305485	0.953651	0.061695337	0.9924426	0.9672529	0.8615784	0.7794155	0.996057	0.96386117	0.34901887	0.5649992	0.38572216	0.7568611
10007	0.7265357	0.9126719	0.4315114	0.021651328	0.8239267	0.97819793	0.9862131	0.72107846	0.11994195	0.93639255	0.11694574	0.4393797	0.8094005	0.9542264	0.99196136	0.9920642	0.5730599	0.5439594	0.89815295	0.14265215	0.749318	0.99727345	0.7943733	0.043147326	0.3737533	0.957589	0.578197	0.9568543	0.69453347	0.21616977	0.43054378	0.04431951	0.9920129	0.5334551	0.33431125	0.98567593	0.5831198	0.18957841
10009	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1001	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10010	0.005965352	0.6836639	0.43127108	1.0967255E-5	0.36801136	0.15916228	0.62464726	0.6290045	0.5488545	5.9604645E-8	0.42547333	0.42851758	0.43633556	0.5328001	0.56259435	0.6836639	0.043291986	0.562832	0.17361987	9.5146894E-4	0.6836639	0.6836639	0.4071418	0.20186901	0.6598841	0.5415271	0.6836639	0.041983724	0.22392815	0.66642857	0.54966867	0.6836639	0.5502635	0.6396836	0.6836639	0.6334606	0.6836639	0.6836639
10013	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
