ID	10 CN A	102 CN A	12 CN A	13 CN A	16 CN A	19 CN A	22 CN A	3 CN A	45 CN A	51 CN A	59 CN A	60 CN A	62 CN A	7 CN A	9 CN A	HC102 CN A	HC103 CN A	HC105 CN A	HC52 CN A	HC53 CN A	HC55 CN A	HC57 CN A	HC61 CN A	HC62 CN A	HC65 CN A	HC66 CN A	HC68 CN A	HC69 CN A	HC71 CN A	HC72 CN A	HC73 CN A	HC74 CN A	HC76 CN A	HC80 CN A	HC81 CN A	HC82 CN A	HC83 CN A	HC86 CN A
10	0.46039456	0.67464685	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.78350204	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.6112702	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456	0.46039456
100	0.8518615	0.7468591	0.82405585	0.13235049	0.87357664	0.42352402	0.13235049	0.4749282	0.53654826	0.49375075	0.918297	0.13235049	0.89183813	0.87968236	0.22021642	0.99998	0.3816238	0.48914665	0.9851223	0.13235049	0.9720246	0.9943696	0.6168795	0.97674525	0.8632699	0.73773134	0.97447807	0.820715	0.9987659	0.9580414	0.87572825	0.99490505	0.70842004	0.13235049	0.9994155	0.42096338	0.46454164	0.8318777
1000	0.8819313	0.8765965	0.15604667	0.57320404	0.7258064	0.9681196	0.9118517	0.37226176	0.76652	0.8525394	0.9385694	0.412895	0.96118873	0.52813244	0.16486362	0.32861674	0.31592572	0.5505868	0.20875321	0.85892713	0.4835578	0.25444502	0.16668963	0.5291344	0.24751486	0.33914572	0.41240513	0.7404184	0.20570624	0.455162	0.19859028	0.24600984	0.6028901	0.15604667	0.18706532	0.5872396	0.43344238	0.20133807
10000	0.3564912	0.7665228	0.4277005	0.3564912	0.3564912	0.3564912	0.66361624	0.33701894	0.3564912	0.3564912	0.3564912	0.3564912	0.3564912	0.46706894	0.3564912	0.3564912	0.3564912	0.3564912	0.3564912	0.81743336	0.3564912	0.3564912	0.62216055	0.3564912	0.3564912	0.3564912	0.3564912	0.3564912	0.3564912	0.6030272	0.3564912	0.3564912	0.68260324	0.3564912	0.3564912	0.6169936	0.3564912	0.3564912
10001	0.08518828	0.08518828	0.07187006	0.035304524	0.4575133	0.08518828	0.08518828	0.08518828	0.08518828	0.020416657	0.08518828	0.08518828	0.08518828	0.08518828	0.08518828	0.08518828	0.039647084	0.025364976	0.3184557	0.08518828	0.08518828	0.34784964	0.61067224	0.08518828	0.3353318	0.08518828	0.91814244	0.09035461	0.08518828	0.08518828	0.08518828	0.08518828	0.08518828	0.40146556	0.27600285	0.4200218	0.08518828	0.555527
10002	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10003	0.6186832	0.37048566	0.6081031	0.4113547	0.5027491	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.8635867	0.37048566	0.37048566	0.638809	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566	0.37048566
10004	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10005	0.4217955	0.6056141	0.17730278	0.7082244	0.39915323	0.46014172	0.3547216	0.24239664	0.61893976	0.67681694	0.5922656	0.28459227	0.69031936	0.20786768	0.78688145	0.49820864	0.64894676	0.22138965	0.53369856	0.84016806	0.8681782	0.539886	0.523221	0.4641918	0.7239461	0.63902426	0.83824706	0.86052215	0.8334527	0.6197642	0.57978356	0.34154573	0.5151067	0.9186459	0.46782842	0.549752	0.7365806	0.58366394
10006	0.8807041	0.24966548	0.49653554	0.9993152	0.45838904	0.9685733	0.6515807	0.01330871	0.41557243	1.0	0.36732486	0.20860085	0.83915126	0.27016616	0.8538149	0.25298464	0.9398536	0.82993746	0.27107546	0.008706712	0.0018395062	0.0015285567	5.763048E-4	0.36051622	0.17033522	0.0018599863	0.0075772624	0.5877203	1.3661642E-6	0.005019987	0.007842584	0.012895837	2.1522136E-4	0.010726034	0.048765395	0.057250634	0.23664927	0.09521585
