node1	node2
CHRNA1	ITGA7
ACTG1	PPP1R9A
CD44	SRGN
ERBB2	GRB7
ERBB2	PAK1
DLG4	ERBB2
ERBB2	PIK3R2
ERBB2	PTPN18
ERBB2	ERBB2IP
ARHGAP5	SMURF2
ERBB2	NF2
CD82	ERBB2
ERBB2	ERRFI1
CD44	MMP7
ERBB2	TOB1
ERBB2	MUC4
ERBB2	PICK1
SMURF2	TXNIP
DDX20	ETV3
FOXG1	TLE1
FOXG1	TLE3
FOXG1	HDAC1
FOXG1	SMAD1
FOXG1	KDM5B
CD4	CD44
DAB2	SMURF2
CBL	VAV1
PLCG1	VAV1
PRLR	VAV1
TYK2	VAV1
DGCR2	SMURF2
MAPK1	VAV1
RHOG	VAV1
HRAS	VAV1
BTK	VAV1
CD44	TGFBR1
SYK	VAV1
SHB	VAV1
PRKCQ	VAV1
TEC	VAV1
IL6ST	VAV1
HNRNPK	VAV1
SLA	VAV1
PTK2B	VAV1
EZH2	VAV1
LCP2	VAV1
CD44	TGFBR2
VAV1	ZYX
SH3BP2	VAV1
SIAH2	VAV1
LAT	VAV1
ARHGDIB	VAV1
SOCS1	VAV1
AOC3	VAV1
NEK3	VAV1
CBLB	VAV1
BLNK	VAV1
CD44	VAV2
RACGAP1	VAV1
PAG1	VAV1
DOCK2	VAV1
FAM175B	SMURF2
ACBD3	SMURF2
PECAM1	YES1
CD36	YES1
RPL10	YES1
MST1R	YES1
CD44	ERBB4
TYRO3	YES1
ADAM12	YES1
NPHS1	YES1
OCLN	YES1
DLG4	YES1
CD2AP	YES1
TRPV4	YES1
SF3A2	SMURF2
GP6	YES1
TP53BP2	YES1
CD44	TIAM1
REL	SP1
ELF1	REL
ACOX3	SMURF2
RNF111	SMURF2
NKRF	REL
REL	TBP
SMURF2	TMEM139
LAPTM5	SMURF2
MAPK8	REL
SMURF2	SNRNP70
CD44	DMP1
PPP4C	REL
NUP155	ZFYVE9
SUMF2	ZFYVE9
ETS2	ZFYVE9
SMAD7	ZNF107
SMAD7	ZBTB44
SMAD7	TTF2
HSPA8	REL
MYOD1	SMAD7
GTF2B	REL
ARHGEF1	CD44
SMAD7	SOX5
ASH1L	SMAD7
SMAD7	ZBTB11
CALM1	REL
SMAD7	SOX13
KIT	LYN
KIT	PIK3R1
KIT	PLCG1
KIT	PTPN11
ACTG1	LGALS13
CD44	NF2
KIT	PTPN6
KIT	PRKCA
KIT	KITLG
KIT	SRC
KIT	MATK
KIT	STAT1
KIT	PTPRO
KIT	TEC
GRB7	KIT
GRB10	KIT
CD38	FCGR3A
CRKL	KIT
DOK1	KIT
KIT	PIK3R2
KIT	SOCS1
GRAP	KIT
GRAP2	KIT
KIT	SH2B3
CD81	KIT
KIT	MPDZ
KIT	SPRED1
CD38	LCK
KIT	STAP1
KIT	SH2B2
KIT	SPRED2
CBL	FGR
FGR	SRC
FGR	WAS
CD24	FGR
FGR	SYK
FGR	PTK2
CD38	PECAM1
DAB2	FGR
CCR3	FGR
FGR	HCLS1
FGR	SLAMF1
FGR	INPP5D
EBNA1BP2	FGF3
DLL4	NOTCH4
MAML1	NOTCH4
FBXW7	NOTCH4
INS	NOV
CD38	CD4
NOTCH1	NOV
DLL1	NOV
NOV	S100A4
NFATC1	PIM1
PIM1	PTPRO
PIM1	SND1
CBX3	PIM1
CBX1	PIM1
FZD5	WNT5A
C9	CD59
ROR2	WNT5A
FZD1	WNT5A
PTPN6	ROS1
ABL1	ROS1
ROS1	VAV3
GDI2	RAB8A
OPTN	RAB8A
MAP4K2	RAB8A
RAB8A	RPH3AL
C8A	CD59
RAB8A	SYTL4
RAB8A	RIMS2
RAB8A	RPH3A
FLT1	KDR
FLT1	VEGFA
FLT1	PLCG2
FLT1	SHC1
FLT1	PGF
FLT1	VEGFB
CD59	GNAI3
ATR	FLT1
ERG	SPI1
ERG	FLI1
ERG	ETV1
ERG	SETDB1
SMAD7	TTF1
RRAS	SOS1
ARAF	RRAS
NCK1	RRAS
CD59	CD9
EPHB2	RRAS
RALGDS	RRAS
RASSF5	RRAS
NAV2	RRAS
RASIP1	RRAS
COL4A5	OSM
COL4A6	OSM
IL6ST	OSM
OSM	OSMR
CD2	CD59
CBL	LYN
LYN	PLCG1
LYN	PECAM1
CD36	LYN
LYN	PTPN6
LYN	TYK2
LYN	PRKCD
BTK	LYN
GRIA3	LYN
ACTG1	DSTN
CD59	SRC
LYN	MATK
CD24	LYN
LYN	SYK
LYN	PDE4A
LYN	PLCG2
LYN	PRKCQ
LYN	SHC1
CASP3	LYN
HNRNPK	LYN
LYN	PTK2
CD59	SLC6A8
LYN	PRKDC
LYN	PTK2B
LYN	PIK3CG
HCLS1	LYN
LCP2	LYN
LYN	MAPK3
LYN	MAP4K1
KHDRBS1	LYN
LYN	RGS16
UBXN11	ZFYVE9
CD59	NCR1
LYN	PPP1R8
LYN	NPHS1
DLG4	LYN
BCAR1	LYN
LYN	UNC119
LYN	TRAT1
LYN	SKAP1
LYN	SKAP2
LYN	TRPV4
LYN	PAG1
CD59	NCR3
GAB2	LYN
LYN	PRAM1
GAB3	LYN
LYN	PPP1R15A
FCGR2B	LYN
INPP5D	LYN
CBLC	LYN
BANK1	LYN
GP6	LYN
EVL	LYN
CD72	GRB2
LYN	NEDD9
CHST15	LYN
LYN	SH2B2
DOK3	LYN
JUN	SPI1
JUN	POU1F1
JUN	MAF
JUN	RB1
JUN	NR5A1
CD5	CD72
JUN	NFYA
JUN	SP1
GTF2F2	JUN
ABL1	JUN
JUN	TPM1
HCFC1	JUN
JUN	TAF1
AR	JUN
JUN	TBP
CREBBP	JUN
CD72	PTPN6
JUN	RUNX2
JUN	STAT1
JUN	STAT4
HMGA1	JUN
JUN	PRKDC
JUN	SMAD4
JUN	PIN1
JUN	MAPK8
JUN	NACA
JUN	SMAD2
CD72	SEMA4D
JUN	TDG
FOSL2	JUN
JUN	SMARCD1
JUN	VDR
JUN	MAPK3
JUN	SUMO1
JUN	NCOA3
JUN	NRIP1
JUN	TGIF1
JUN	NCOA1
BLNK	CD72
EP300	JUN
JUN	MAPK9
JUN	TSC22D3
JUN	TCF20
JUN	SMAD3
DHX9	JUN
ATF3	JUN
HIF1A	JUN
JUN	TRIP4
JUN	MYBBP1A
JUN	PRKD1
DDX21	JUN
JUN	SPIB
JUN	PACS1
ATF4	JUN
HHEX	JUN
COPS5	JUN
JUN	MAFB
JUN	RFWD2
EN1	JUN
TBCB	USP7
CTSG	SERPINA3
GTF2B	JUN
HDAC3	JUN
JUN	UBE2I
JUN	RBM39
JUN	RAGE
JUN	MAPKAPK5
BATF	JUN
CREB5	JUN
COBRA1	JUN
JUN	TPM2
CTRL	SERPINA3
JUN	PIAS1
JUN	RPL18A
JDP2	JUN
JUN	SNRK
RNPEP	ZFYVE9
FHL2	ZFYVE9
EIF4G1	ZFYVE9
ZFYVE9	ZMYND8
CHD6	ZFYVE9
RBBP6	ZFYVE9
CTRB1	SERPINA3
RHOT2	ZFYVE9
SF3B1	SMAD5
JUNB	MAPK14
JUNB	SMAD4
JUNB	MAPK8
FOSL2	JUNB
JUNB	SMAD3
BATF	JUNB
