# INPUT
#   INPUT FILES
#     Class file:   class_file.txt
#     Matrix file:  text_exp.txt
#     Network file: sampleNetwork.sif
#   SCORING AND TRIALS
#     Score model:      MI
#     Number of trials: 100
#   SEARCH PARAMETERS
#     Max module size: 20
#     Max radius:      2
#     Max node degree: 300
#     Min improvement: 0.05
#   STATISTICAL TESTS
#     ST1 P-value cutoff: 0.05
#     ST2 P-value cutoff: 0.05
#     ST3 P-value cutoff: 5.0E-5
#     ST3 randomizations: 20000
#
# OUTPUT
# Start	Module Score	ST1 PValue	ST2 PValue	ST3 PValue	Genes
MAFF	0,126746	0,014689	0,003986	0,000000	MAFF HOXD12 NFE2 CREBBP 
EPS15	0,113464	0,025544	0,037285	0,000000	EPS15 NEDD4 NUMBL NDFIP1 SCNN1G 
ITSN1	0,129183	0,013238	0,006767	0,000000	ITSN1 WASL SNAP23 SCAMP2 STX3 PFN1 
TRIM28	0,122028	0,017991	0,021522	0,000000	TRIM28 ATM PABPC4 MCM3 HSPA8 MLH1 
LRP2	0,156639	0,004079	0,011243	0,000000	LRP2 APOH MAGI1 MPP2 ACCN3 GIPC1 CD93 NRP1 SYNPO LIN7B 
PKN1	0,161013	0,003315	0,007524	0,000000	PKN1 VIM NUP85 NCK2 CDK5R1 PPL 
JAK2	0,163266	0,003012	0,017124	0,000000	JAK2 TEC JAK1 RAF1 CCR2 SYK IFNGR1 
YWHAQ	0,136272	0,009725	0,004833	0,000000	YWHAQ PFKFB2 PDPK1 BAD PRKCH 
YAP1	0,100637	0,043056	0,043200	0,000000	YAP1 SMAD7 PARD3 ERBB2IP MAP2K6 TEAD1 
CHRM4	0,139363	0,008564	0,037089	0,000000	CHRM4 GRB2 MUC1 WAS SYNGAP1 
ZEB1	0,123608	0,016907	0,008166	0,000000	ZEB1 CTBP1 HDAC1 ELAC2 KLF12 SP1 
POU2F1	0,155221	0,004344	0,016981	0,000000	POU2F1 PARP1 BCL2 RBM14 CENPA ZNF423 GTF2B TRAM2 
PARP1	0,137300	0,009290	0,024939	0,000000	PARP1 ZNF423 RBM14 PAK3 SFRS12 
COL3A1	0,122321	0,017765	0,005989	0,000000	COL3A1 THBS1 SCARB2 LAMB3 DDR2 ITGB3 SPARC 
SMAD2	0,163252	0,003013	0,009383	0,000000	SMAD2 HDAC1 DNMT3A HEY2 TOB1 RUNX3 DDX17 MTA1 PIAS1 
COL7A1	0,125491	0,015491	0,015382	0,000000	COL7A1 COL4A1 FBLN2 BCAN TGFBI SERPINE2 
FGD1	0,107315	0,032725	0,030400	0,000000	FGD1 CDC42 CDC42EP4 PARD3 METAP2 IQGAP1 
HELB	0,113472	0,025541	0,013406	0,000000	HELB POLR1A POLR1E RPA1 WRN ANP32B RAD51 
RBM14	0,132897	0,011320	0,045954	0,000000	RBM14 PARP1 PAK3 XRCC5 
RBBP9	0,183147	0,001126	0,003418	0,000000	RBBP9 RB1 TAF1 MDM2 ARID3B CCND1 UBE2I MYBL2 RBBP4 EPO E2F1 PRDM2 AR 
TG	0,116177	0,022893	0,026787	0,000000	TG LRP2 MPP2 APOH MPP3 
THBS1	0,171833	0,001986	0,002024	0,000000	THBS1 SCARB2 MMP2 SPARC LAMB3 PLAT 
SNX6	0,122530	0,017611	0,017220	0,000000	SNX6 INSR RAF1 TGFBR1 MAPK3 PTPN12 
XPO1	0,143362	0,007204	0,023753	0,000000	XPO1 ERF STAT1 NMI KIF17 NXF3 
SRC	0,176385	0,001620	0,034285	0,000000	SRC KHDRBS1 ARR3 FARP2 DDR2 EGFR 
CDKN1A	0,141115	0,007923	0,026474	0,000000	CDKN1A MUC1 CDK6 HIF1A JUN HMGA1 RFWD2 PIAS2 
ITGA2B	0,121674	0,018237	0,042213	0,000000	ITGA2B FN1 COL2A1 THBS1 VHL 
RIMS2	0,152573	0,004849	0,000536	0,000000	RIMS2 RABAC1 YWHAH NCOA3 BRAF CACNA1S 
SMARCC2	0,101601	0,041448	0,042873	0,000000	SMARCC2 HDAC3 STMN2 PPARD CBFA2T3 
MAPK13	0,138372	0,008938	0,003172	0,000000	MAPK13 MAPK8IP2 LRP1 MAPK8 FGF12 JUN CREB5 
PAK3	0,149679	0,005524	0,015340	0,000000	PAK3 GIT1 PPFIA1 PLCG1 PKN2 CHD3 PKN1 ERC2 TP53 
DAB1	0,196401	0,000576	0,000326	0,000000	DAB1 PCDH18 APLP2 APBB3 CRK MAPK8 DAB2IP 
SHBG	0,104200	0,037172	0,040379	0,000000	SHBG MPDU1 ACTB MT1G PLP2 PTN 
TSHR	0,118247	0,021104	0,034025	0,000000	TSHR JAK2 LYN SIRPA GRB2 PRNP 
TCF12	0,144496	0,006888	0,013157	0,000000	TCF12 EP300 NUPR1 RELA MAF 
PLG	0,179269	0,001383	0,001064	0,000000	PLG THBS1 SCARB2 LAMB3 SPARC AMOT 
DLG2	0,105291	0,035478	0,049902	0,000000	DLG2 ERBB4 DLG3 DLG1 
TOP2A	0,152081	0,004982	0,012475	0,000000	TOP2A HDAC1 RAD9A EZH2 DNMT3A MTA1 PIAS3 AREG 
PACS1	0,117486	0,021799	0,033313	0,000000	PACS1 JUN ETS2 BCL6 HDAC3 
SCARB2	0,150756	0,005304	0,002142	0,000000	SCARB2 THBS1 MMP2 SPARC LAMB3 CORO1A 
GEMIN4	0,110075	0,029209	0,013444	0,000000	GEMIN4 LGALS3 CALCOCO2 GEMIN5 SNRPD1 
APBB1	0,149615	0,005544	0,004266	0,000000	APBB1 APLP2 APBB3 LRP1 CTGF CANX LRPAP1 CLSTN1 
TGFB1I1	0,123724	0,016811	0,037667	0,000000	TGFB1I1 HSPB1 DAXX SMAD4 HDAC1 SMAD1 CRYAB 
PTGES3	0,122211	0,017873	0,044567	0,000000	PTGES3 ARNT PML AURKAIP1 MYC GTF2F2 
PIK3R2	0,126092	0,015109	0,046603	0,000000	PIK3R2 EGFR CD82 PTPN11 USP6 
GIT1	0,157280	0,003976	0,005323	0,000000	GIT1 PPFIA1 PAK3 PLCG1 PKN2 CHD3 PKN1 VIM MICAL1 
GTF2F1	0,119573	0,020068	0,045727	0,000000	GTF2F1 PSMC2 MSX2 SRF KIAA0319 FLI1 
ZHX1	0,135712	0,009925	0,013060	0,000000	ZHX1 TAL1 HDAC1 RBBP4 SIN3A 
TEC	0,163266	0,003012	0,001529	0,000000	TEC JAK2 JAK1 RAF1 CCR2 SYK IFNGR1 
BRCA2	0,146543	0,006292	0,019531	0,000000	BRCA2 C11orf30 FANCD2 HMG20B BCCIP USP1 PHF21A 
TIMM50	0,151692	0,005058	0,004963	0,000000	TIMM50 BRAF YWHAH RAF1 LCK VAV1 
RAB6A	0,109389	0,029940	0,002686	0,000000	RAB6A CHML SYTL5 
CDH5	0,121974	0,018021	0,037644	0,000000	CDH5 PTPN11 GAB1 BTLA VIM CTNND1 FGFR3 
DGKZ	0,107720	0,032062	0,047522	0,000000	DGKZ PLCG1 LCK FASLG PLCG2 
VIM	0,161013	0,003315	0,002637	0,000000	VIM PKN1 NUP85 NCK2 CDK5R1 PPL 
USP7	0,175887	0,001645	0,003215	0,000000	USP7 TANK CD40 NGFR MAGED1 RIPK3 TRAF1 TNFRSF1B MAP3K1 
STAT5A	0,142506	0,007504	0,016184	0,000000	STAT5A CREBBP PAX5 CCND1 EBF1 TCF12 CTBP1 
UTP14A	0,185579	0,001013	0,002855	0,000000	UTP14A GADD45G GADD45B ATM FANCD2 HSPA8 MDC1 MCM3 DCLRE1C 
CABIN1	0,104721	0,036331	0,048409	0,000000	CABIN1 PPP3CB MEF2B MYOZ3 CALM1 
KHDRBS1	0,176385	0,001620	0,006607	0,000000	KHDRBS1 SRC ARR3 FARP2 DDR2 EGFR 
GADD45G	0,129840	0,012809	0,024078	0,000000	GADD45G UTP14A GADD45B ATM MED31 PML PIAS4 NCOR1 
SPARC	0,171833	0,001986	0,000975	0,000000	SPARC THBS1 LAMB3 MMP2 SCARB2 PLAT 
